article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,0,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,42.0,47.181,47.564,46.403,71.093,44.105,23.176,44.995,0.05,53.242,36.646,41.78,8.907
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,1,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,44.2,46.314,46.039,45.785,61.937,46.122,23.361,45.894,0.05,50.341,37.79,39.242,9.156
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,2,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,46.4,45.395,44.42,45.144,52.525,48.196,23.554,46.901,0.05,47.34,38.997,36.613,9.412
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,3,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,48.6,44.422,42.703,44.479,42.853,50.334,23.755,48.018,0.05,44.234,40.271,33.89,9.673
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,4,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,50.8,43.391,40.883,43.789,32.914,52.541,23.965,49.247,0.05,41.021,41.614,31.067,9.939
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,5,Baseline / current structure,False,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,53.0,42.3,38.957,43.072,22.702,54.823,24.184,50.592,0.05,37.695,43.03,28.142,10.212
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,6,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,55.2,41.537,37.27,42.759,11.701,56.842,24.312,51.868,0.22,34.441,44.393,27.542,11.002
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,7,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,57.4,40.718,35.488,42.42,0.402,58.933,24.448,53.25,0.22,31.073,45.763,24.64,11.298
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,8,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,59.6,39.84,33.607,42.053,0,61.102,24.592,54.739,0.22,30.052,47.007,23.535,11.601
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,9,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,61.8,38.9,31.622,41.656,0,63.355,24.745,56.341,0.22,29.067,48.277,22.44,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,10,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,64.0,37.893,29.526,41.229,0,65.697,24.908,58.056,0.22,28.024,49.617,21.284,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,11,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,66.2,36.816,27.316,40.768,0,68.136,25.081,59.891,0.22,26.922,51.03,20.063,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,12,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,68.4,35.664,24.985,40.272,0,70.676,25.263,61.847,0.22,25.756,52.521,18.774,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,13,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,70.6,34.435,22.526,39.74,0,73.326,25.457,63.929,0.22,24.524,54.093,17.412,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,14,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,72.8,33.122,19.934,39.169,0,76.091,25.661,66.142,0.22,23.222,55.749,15.974,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,15,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,75.0,31.722,17.2,38.557,0,78.979,25.877,68.49,0.22,21.845,57.495,14.456,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,16,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,77.2,30.23,14.319,37.903,0,81.997,26.105,70.978,0.22,20.391,59.332,12.852,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,17,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,79.4,28.641,11.282,37.203,0,85.154,26.346,73.61,0.22,18.854,61.267,11.159,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,18,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,81.6,26.95,8.082,36.455,0,88.456,26.599,76.393,0.22,17.23,63.303,9.372,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,19,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,83.8,25.151,4.709,35.657,0,91.912,26.867,79.332,0.22,15.516,65.445,7.486,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,20,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,86.0,23.239,1.156,34.807,0,95.531,27.149,82.432,0.22,13.704,67.698,5.494,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,21,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,88.2,21.207,0,33.901,0,99.323,27.447,85.702,0.22,12.362,70.021,3.963,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,22,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,90.4,19.089,0,32.956,0,100,27.747,89.146,0.22,11.554,71.556,3.09,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,23,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,92.6,16.891,0,31.976,0,100,28.047,92.689,0.22,10.787,72.947,2.283,11.612
feedback-loops-and-system-behavior,Feedback Loops And System Behavior,24,Baseline / current structure,True,feedback-sensitive system stock,delay and overshoot pressure,correction and adaptation burden,stabilized system outcome,94.8,14.61,0,30.96,0,100,28.347,96.315,0.22,9.991,74.37,1.446,11.612
