period,role_id,protected_focus_hours,recovery_hours,training_hours,peer_support_score,autonomy_score
1,R01,12,16,5,0.62,0.48
2,R01,10,13,4,0.57,0.44
3,R01,8,10,3,0.51,0.39
4,R01,6,7,2,0.45,0.34
1,R02,14,17,5,0.66,0.53
2,R02,12,14,4,0.60,0.49
3,R02,9,11,3,0.54,0.43
4,R02,7,8,2,0.48,0.38
1,R03,13,15,6,0.64,0.56
2,R03,11,12,5,0.58,0.51
3,R03,8,9,3,0.51,0.45
4,R03,6,6,2,0.44,0.39
1,R04,11,14,4,0.61,0.50
2,R04,9,11,3,0.55,0.45
3,R04,7,8,2,0.48,0.39
4,R04,5,5,1,0.41,0.33
1,R05,12,15,4,0.63,0.49
2,R05,9,12,3,0.56,0.44
3,R05,7,9,2,0.49,0.38
4,R05,5,6,1,0.42,0.32
1,R06,15,18,6,0.68,0.58
2,R06,13,15,5,0.63,0.53
3,R06,10,12,4,0.57,0.47
4,R06,8,9,3,0.50,0.42
