period,role_id,open_positions,departures,onboarding_hours,knowledge_loss_index,remaining_staff_load_increase
1,R01,1,0,8,0.12,0.04
2,R01,2,1,16,0.24,0.10
3,R01,3,1,24,0.36,0.16
4,R01,4,2,38,0.52,0.25
1,R02,1,0,7,0.10,0.03
2,R02,1,1,14,0.21,0.08
3,R02,2,1,22,0.32,0.14
4,R02,3,1,31,0.45,0.21
1,R03,1,0,7,0.11,0.04
2,R03,2,1,15,0.23,0.09
3,R03,2,1,23,0.35,0.15
4,R03,3,2,36,0.51,0.24
1,R04,1,1,10,0.18,0.07
2,R04,2,1,18,0.30,0.13
3,R04,3,2,31,0.46,0.22
4,R04,5,2,46,0.63,0.32
1,R05,1,0,9,0.14,0.05
2,R05,2,1,17,0.27,0.11
3,R05,3,1,26,0.41,0.18
4,R05,4,2,40,0.58,0.28
1,R06,0,0,5,0.08,0.02
2,R06,1,0,9,0.16,0.05
3,R06,2,1,17,0.29,0.11
4,R06,2,1,25,0.40,0.17
