period,scenario,feedback_use_index,inquiry_strength,shared_alignment,defensive_routines_index,learning_stock,institutional_memory_stock,trust_stock,adaptive_capacity,organizational_performance,learning_capacity_score
0,Compliance culture,15.2,8.84,19.304,36.214,34.116,42.701,48.947,37.605,28.878,26.16
1,Compliance culture,14.917,8.84,19.305,37.628,34.009,43.342,49.713,39.117,29.266,26.015
2,Compliance culture,14.634,8.84,19.273,39.042,33.673,43.92,50.295,40.522,29.529,25.813
3,Compliance culture,14.352,8.84,19.208,40.456,33.088,44.438,50.689,41.805,29.658,25.548
4,Compliance culture,14.069,8.84,19.109,41.87,32.243,44.894,50.893,42.951,29.644,25.219
5,Compliance culture,13.786,8.84,18.976,43.284,31.138,45.288,50.902,43.945,29.483,24.825
6,Compliance culture,13.503,8.84,18.808,44.698,29.772,45.622,50.714,44.771,29.17,24.367
7,Compliance culture,13.22,8.84,18.605,46.112,28.147,45.893,50.324,45.413,28.7,23.844
8,Compliance culture,12.938,8.84,18.365,47.526,26.261,46.104,49.729,45.856,28.068,23.256
9,Compliance culture,12.655,8.84,18.088,48.94,24.104,46.253,48.926,46.084,27.265,22.602
10,Compliance culture,12.372,8.84,17.774,50.354,21.655,46.341,47.91,46.08,26.283,21.875
11,Compliance culture,12.089,8.84,17.421,51.768,18.905,46.367,46.677,45.827,25.113,21.076
12,Compliance culture,11.806,8.84,17.03,53.182,15.846,46.332,45.225,45.306,23.747,20.2
13,Compliance culture,11.524,8.84,16.599,54.596,12.468,46.236,43.549,44.499,22.178,19.248
14,Compliance culture,11.241,8.84,16.127,56.01,8.763,46.078,41.644,43.387,20.398,18.216
15,Compliance culture,10.958,8.84,15.615,57.424,4.722,45.859,39.507,41.952,18.398,17.103
16,Compliance culture,10.675,8.84,15.06,58.838,0.335,45.579,37.134,40.173,16.17,15.906
17,Compliance culture,10.392,8.84,14.464,60.252,0.0,45.237,34.52,38.25,14.737,15.593
18,Compliance culture,10.11,8.84,13.823,61.666,0.0,44.834,31.661,36.198,13.283,15.347
19,Compliance culture,9.827,8.84,13.139,63.08,0.0,44.37,28.553,34.015,11.735,15.093
20,Compliance culture,9.544,8.84,12.41,64.494,0.0,43.844,25.191,31.697,10.089,14.832
21,Compliance culture,9.261,8.84,11.635,65.908,0.0,43.256,21.57,29.242,8.345,14.564
22,Compliance culture,8.978,8.84,10.814,67.322,0.0,42.608,17.686,26.649,6.501,14.288
23,Compliance culture,8.696,8.84,9.945,68.736,0.0,41.898,13.534,23.914,4.554,14.005
24,Compliance culture,8.413,8.84,9.028,70.15,0.0,41.126,9.11,21.035,2.505,13.714
25,Compliance culture,8.13,8.84,8.062,71.564,0.0,40.294,4.408,18.01,0.35,13.416
26,Compliance culture,7.847,8.84,7.046,72.978,0.0,39.4,0.0,14.835,0.0,13.111
27,Compliance culture,7.564,8.84,6.083,74.392,0.0,38.464,0.0,11.511,0.0,12.801
28,Compliance culture,7.282,8.84,5.913,75.806,0.0,37.528,0.0,8.035,0.0,12.49
29,Compliance culture,6.999,8.84,5.743,77.22,0.0,36.592,0.0,4.409,0.0,12.18
30,Compliance culture,6.716,8.84,5.574,78.634,0.0,35.656,0.0,0.633,0.0,11.87
31,Compliance culture,6.433,8.84,5.404,80.048,0.0,34.72,0.0,0.0,0.0,11.56
32,Compliance culture,6.15,8.84,5.234,81.462,0.0,33.784,0.0,0.0,0.0,11.249
33,Compliance culture,5.868,8.84,5.065,82.876,0.0,32.848,0.0,0.0,0.0,10.939
34,Compliance culture,5.585,8.84,4.895,84.29,0.0,31.912,0.0,0.0,0.0,10.629
35,Compliance culture,5.302,8.84,4.725,85.704,0.0,30.976,0.0,0.0,0.0,10.319
36,Compliance culture,5.019,8.84,4.556,87.118,0.0,30.04,0.0,0.0,0.0,10.008
37,Compliance culture,4.736,8.84,4.386,88.532,0.0,29.104,0.0,0.0,0.0,9.698
38,Compliance culture,4.454,8.84,4.216,89.946,0.0,28.168,0.0,0.0,0.0,9.388
39,Compliance culture,4.171,8.84,4.046,91.36,0.0,27.232,0.0,0.0,0.0,9.077
40,Compliance culture,3.888,8.84,3.877,92.774,0.0,26.296,0.0,0.0,0.0,8.767
41,Compliance culture,3.605,8.84,3.707,94.188,0.0,25.36,0.0,0.0,0.0,8.457
42,Compliance culture,3.322,8.84,3.537,95.602,0.0,24.424,0.0,0.0,0.0,8.147
43,Compliance culture,3.04,8.84,3.368,97.016,0.0,23.488,0.0,0.0,0.0,7.836
44,Compliance culture,2.757,8.84,3.198,98.43,0.0,22.552,0.0,0.0,0.0,7.526
45,Compliance culture,2.474,8.84,3.028,99.844,0.0,21.616,0.0,0.0,0.0,7.216
46,Compliance culture,2.191,8.84,2.859,100.0,0.0,20.68,0.0,0.0,0.0,7.082
47,Compliance culture,2.16,8.84,2.84,100.0,0.0,19.744,0.0,0.0,0.0,6.969
48,Compliance culture,2.16,8.84,2.84,100.0,0.0,18.808,0.0,0.0,0.0,6.857
0,Defensive performance culture,16.8,11.76,20.808,47.902,33.562,42.696,48.051,37.002,26.766,29.201
