period,domain,problem_pressure,visible_symptom
0,public_administration,62,administrative_delay
1,public_administration,67,administrative_delay
2,public_administration,70,administrative_delay
3,public_administration,74,administrative_delay
4,public_administration,79,administrative_delay
5,public_administration,83,administrative_delay
6,public_administration,88,administrative_delay
7,public_administration,91,administrative_delay
8,public_administration,95,administrative_delay
9,public_administration,99,administrative_delay
