article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
system-boundaries-and-problem-framing,0.00,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.00,0.50,0.00,99.69
system-boundaries-and-problem-framing,0.00,1.00,0.00,92.73
system-boundaries-and-problem-framing,0.00,1.50,0.00,85.76
system-boundaries-and-problem-framing,0.00,2.00,0.00,78.80
system-boundaries-and-problem-framing,0.00,2.50,0.00,75.22
system-boundaries-and-problem-framing,0.00,3.00,0.00,74.13
system-boundaries-and-problem-framing,0.10,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.10,0.50,0.00,98.58
system-boundaries-and-problem-framing,0.10,1.00,0.00,91.62
system-boundaries-and-problem-framing,0.10,1.50,0.00,84.65
system-boundaries-and-problem-framing,0.10,2.00,0.00,77.69
system-boundaries-and-problem-framing,0.10,2.50,0.00,74.37
system-boundaries-and-problem-framing,0.10,3.00,0.00,73.29
system-boundaries-and-problem-framing,0.20,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.20,0.50,0.00,97.47
system-boundaries-and-problem-framing,0.20,1.00,0.00,90.51
system-boundaries-and-problem-framing,0.20,1.50,0.00,83.54
system-boundaries-and-problem-framing,0.20,2.00,0.00,76.58
system-boundaries-and-problem-framing,0.20,2.50,0.00,73.53
system-boundaries-and-problem-framing,0.20,3.00,0.00,72.45
system-boundaries-and-problem-framing,0.30,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.30,0.50,0.00,96.36
system-boundaries-and-problem-framing,0.30,1.00,0.00,89.40
system-boundaries-and-problem-framing,0.30,1.50,0.00,82.43
system-boundaries-and-problem-framing,0.30,2.00,0.00,75.47
system-boundaries-and-problem-framing,0.30,2.50,0.00,72.69
system-boundaries-and-problem-framing,0.30,3.00,0.00,71.60
system-boundaries-and-problem-framing,0.40,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.40,0.50,0.00,95.25
system-boundaries-and-problem-framing,0.40,1.00,0.00,88.29
system-boundaries-and-problem-framing,0.40,1.50,0.00,81.32
system-boundaries-and-problem-framing,0.40,2.00,0.00,74.36
system-boundaries-and-problem-framing,0.40,2.50,0.00,71.84
system-boundaries-and-problem-framing,0.40,3.00,0.00,70.76
system-boundaries-and-problem-framing,0.50,0.00,0.00,100.00
system-boundaries-and-problem-framing,0.50,0.50,0.00,94.14
system-boundaries-and-problem-framing,0.50,1.00,0.00,87.18
system-boundaries-and-problem-framing,0.50,1.50,0.00,80.21
system-boundaries-and-problem-framing,0.50,2.00,0.00,73.25
system-boundaries-and-problem-framing,0.50,2.50,0.00,71.00
system-boundaries-and-problem-framing,0.50,3.00,0.00,69.91
