run_id,time_month,backlog,staff_capacity,public_trust,completion_rate,demand
RUN001,0,1200,45,68,360,420
RUN001,12,1914,55,55,434,492
RUN001,24,2625,60,43,480,568
RUN001,36,3440,64,32,512,655
RUN002,0,1200,45,68,360,420
RUN002,12,1580,62,61,496,492
RUN002,24,1645,75,59,600,568
RUN002,36,1510,86,62,688,655
RUN003,0,1200,45,68,360,420
RUN003,12,1910,55,55,434,492
RUN003,24,2280,72,49,576,568
RUN003,36,2140,85,51,680,655
RUN006,0,1200,45,68,360,420
RUN006,12,1420,65,64,520,460
RUN006,24,1120,82,70,656,500
RUN006,36,760,96,78,768,540
