resource_id,scenario,year,stock,use_total,regeneration,governance_quality,externalized_burden
R1,open_access,0,1000,166,88,0.13,45
R1,open_access,5,760,180,80,0.14,96
R1,open_access,10,560,190,68,0.15,155
R1,open_access,15,410,188,54,0.15,215
R1,open_access,20,320,175,40,0.16,275
R1,cooperative_quota,0,1000,106,88,0.68,25
R1,cooperative_quota,5,980,104,90,0.70,28
R1,cooperative_quota,10,960,102,91,0.72,30
R1,cooperative_quota,15,940,101,92,0.74,32
R1,cooperative_quota,20,925,99,93,0.75,33
R2,weak_accountability,0,85,16,6,0.16,40
R2,weak_accountability,5,68,18,5,0.18,70
R2,weak_accountability,10,55,20,4,0.19,105
R2,weak_accountability,15,44,21,3,0.20,145
R2,weak_accountability,20,38,21,3,0.20,180
R2,trust_repair,0,85,11,6,0.58,20
R2,trust_repair,5,82,10,7,0.62,22
R2,trust_repair,10,79,10,7,0.64,24
R2,trust_repair,15,76,9,8,0.66,25
R2,trust_repair,20,74,9,8,0.68,25
