article_slug,article_title,domain_profile,scenario,year,system_capacity,system_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,0,72.484,41.7,30.784,31.0,53.06,1.7382,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,1,70.856,43.4,27.456,32.0,54.172,1.6326,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,2,69.117,45.1,24.017,33.0,55.315,1.5325,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,3,67.267,46.8,20.467,34.0,56.489,1.4373,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,4,65.305,48.5,16.805,35.0,57.695,1.3465,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,5,63.231,50.2,13.031,36.0,58.931,1.2596,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,6,61.046,51.9,9.146,37.0,60.199,1.1762,False,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,7,58.75,53.6,5.15,38.0,61.498,1.0961,False,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,8,56.342,55.3,1.042,39.0,62.828,1.0188,False,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,9,53.822,57.0,-3.178,40.0,64.19,0.9443,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,10,51.191,58.7,-7.509,41.0,65.582,0.8721,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,11,48.449,60.4,-11.951,42.0,67.006,0.8021,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,12,45.595,62.1,-16.505,43.0,68.461,0.7342,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,13,42.629,63.8,-21.171,44.0,69.948,0.6682,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,14,39.552,65.5,-25.948,45.0,71.465,0.6039,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,15,36.364,67.2,-30.836,46.0,73.014,0.5411,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,16,33.064,68.9,-35.836,47.0,74.594,0.4799,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,17,29.652,70.6,-40.948,48.0,76.205,0.42,False,shifted_regime
